consultorio_id,cid,place_id,es_ortodoncia,tipo_establecimiento,estado_registro,consultorio_id_maestro,motivo_duplicado,fuente_listado,en_muestra_estudio,estrato_muestra,fecha_alta,fecha_ultima_captura
C-0001,10000000000000000001,ChIJfix00001,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0002,10000000000000000002,ChIJfix00002,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0003,10000000000000000003,ChIJfix00003,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0004,10000000000000000004,ChIJfix00004,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0005,10000000000000000005,ChIJfix00005,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0006,10000000000000000006,ChIJfix00006,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0007,10000000000000000007,ChIJfix00007,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0008,10000000000000000008,ChIJfix00008,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0009,10000000000000000009,ChIJfix00009,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0010,10000000000000000010,ChIJfix00010,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0011,10000000000000000011,ChIJfix00011,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0012,10000000000000000012,ChIJfix00012,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0013,10000000000000000013,ChIJfix00013,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0014,10000000000000000014,ChIJfix00014,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0015,10000000000000000015,ChIJfix00015,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0016,10000000000000000016,ChIJfix00016,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0017,10000000000000000017,ChIJfix00017,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0018,10000000000000000018,ChIJfix00018,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0019,10000000000000000019,ChIJfix00019,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0020,10000000000000000020,ChIJfix00020,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0021,10000000000000000021,ChIJfix00021,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0022,10000000000000000022,ChIJfix00022,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0023,10000000000000000023,ChIJfix00023,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0024,10000000000000000024,ChIJfix00024,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0025,10000000000000000025,ChIJfix00025,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0026,10000000000000000026,ChIJfix00026,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0027,10000000000000000027,ChIJfix00027,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0028,10000000000000000028,ChIJfix00028,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0029,10000000000000000029,ChIJfix00029,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0030,10000000000000000030,ChIJfix00030,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0031,10000000000000000031,ChIJfix00031,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0032,10000000000000000032,ChIJfix00032,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0033,10000000000000000033,ChIJfix00033,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0034,10000000000000000034,ChIJfix00034,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0035,10000000000000000035,ChIJfix00035,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0036,10000000000000000036,ChIJfix00036,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0037,10000000000000000037,ChIJfix00037,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0038,10000000000000000038,ChIJfix00038,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0039,10000000000000000039,ChIJfix00039,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0040,10000000000000000040,ChIJfix00040,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0041,10000000000000000041,ChIJfix00041,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0042,10000000000000000042,ChIJfix00042,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0043,10000000000000000043,ChIJfix00043,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0044,10000000000000000044,ChIJfix00044,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0045,10000000000000000045,ChIJfix00045,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0046,10000000000000000046,ChIJfix00046,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0047,10000000000000000047,ChIJfix00047,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0048,10000000000000000048,ChIJfix00048,true,clinica_multisilla,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0049,10000000000000000049,ChIJfix00049,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0050,10000000000000000050,ChIJfix00050,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0051,10000000000000000051,ChIJfix00051,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0052,10000000000000000052,ChIJfix00052,true,consultorio_individual,activo,,,google_maps,true,sintetico-capital_principal,2026-09-01,2026-09-12
C-0053,10000000000000000053,ChIJfix00053,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0054,10000000000000000054,ChIJfix00054,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0055,10000000000000000055,ChIJfix00055,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0056,10000000000000000056,ChIJfix00056,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0057,10000000000000000057,ChIJfix00057,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0058,10000000000000000058,ChIJfix00058,true,clinica_multisilla,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0059,10000000000000000059,ChIJfix00059,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0060,10000000000000000060,ChIJfix00060,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0061,10000000000000000061,ChIJfix00061,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0062,10000000000000000062,ChIJfix00062,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0063,10000000000000000063,ChIJfix00063,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0064,10000000000000000064,ChIJfix00064,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0065,10000000000000000065,ChIJfix00065,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0066,10000000000000000066,ChIJfix00066,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0067,10000000000000000067,ChIJfix00067,true,clinica_multisilla,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0068,10000000000000000068,ChIJfix00068,true,clinica_multisilla,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0069,10000000000000000069,ChIJfix00069,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0070,10000000000000000070,ChIJfix00070,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0071,10000000000000000071,ChIJfix00071,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0072,10000000000000000072,ChIJfix00072,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0073,10000000000000000073,ChIJfix00073,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0074,10000000000000000074,ChIJfix00074,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0075,10000000000000000075,ChIJfix00075,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0076,10000000000000000076,ChIJfix00076,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0077,10000000000000000077,ChIJfix00077,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0078,10000000000000000078,ChIJfix00078,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0079,10000000000000000079,ChIJfix00079,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0080,10000000000000000080,ChIJfix00080,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0081,10000000000000000081,ChIJfix00081,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0082,10000000000000000082,ChIJfix00082,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0083,10000000000000000083,ChIJfix00083,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0084,10000000000000000084,ChIJfix00084,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0085,10000000000000000085,ChIJfix00085,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0086,10000000000000000086,ChIJfix00086,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0087,10000000000000000087,ChIJfix00087,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0088,10000000000000000088,ChIJfix00088,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0089,10000000000000000089,ChIJfix00089,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0090,10000000000000000090,ChIJfix00090,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0091,10000000000000000091,ChIJfix00091,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0092,10000000000000000092,ChIJfix00092,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0093,10000000000000000093,ChIJfix00093,true,clinica_multisilla,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0094,10000000000000000094,ChIJfix00094,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0095,10000000000000000095,ChIJfix00095,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0096,10000000000000000096,ChIJfix00096,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0097,10000000000000000097,ChIJfix00097,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0098,10000000000000000098,ChIJfix00098,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0099,10000000000000000099,ChIJfix00099,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0100,10000000000000000100,ChIJfix00100,true,clinica_multisilla,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0101,10000000000000000101,ChIJfix00101,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0102,10000000000000000102,ChIJfix00102,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0103,10000000000000000103,ChIJfix00103,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0104,10000000000000000104,ChIJfix00104,true,clinica_multisilla,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0105,10000000000000000105,ChIJfix00105,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0106,10000000000000000106,ChIJfix00106,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0107,10000000000000000107,ChIJfix00107,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0108,10000000000000000108,ChIJfix00108,true,clinica_multisilla,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0109,10000000000000000109,ChIJfix00109,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0110,10000000000000000110,ChIJfix00110,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0111,10000000000000000111,ChIJfix00111,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0112,10000000000000000112,ChIJfix00112,true,clinica_multisilla,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0113,10000000000000000113,ChIJfix00113,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0114,10000000000000000114,ChIJfix00114,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0115,10000000000000000115,ChIJfix00115,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0116,10000000000000000116,ChIJfix00116,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0117,10000000000000000117,ChIJfix00117,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0118,10000000000000000118,ChIJfix00118,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0119,10000000000000000119,ChIJfix00119,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0120,10000000000000000120,ChIJfix00120,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0121,10000000000000000121,ChIJfix00121,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
C-0122,10000000000000000122,ChIJfix00122,true,consultorio_individual,activo,,,google_maps,true,sintetico-intermedia,2026-09-01,2026-09-12
