consultorio_id,fecha,evento,campo,valor_numero,valor_texto,valor_booleano,rol_de_quien_declara,confianza
C-0001,2026-09-10,stand_congreso,precio_lista,6400000,,,profesional,alta
C-0001,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0001,2026-09-10,stand_congreso,consultas_mes,190,,,profesional,alta
C-0002,2026-09-10,stand_congreso,precio_lista,2600000,,,profesional,alta
C-0002,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0002,2026-09-10,stand_congreso,consultas_mes,18,,,profesional,alta
C-0003,2026-09-10,stand_congreso,precio_lista,4600000,,,profesional,alta
C-0003,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0003,2026-09-10,stand_congreso,consultas_mes,111,,,profesional,alta
C-0009,2026-09-10,stand_congreso,precio_lista,3900000,,,profesional,alta
C-0009,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0009,2026-09-10,stand_congreso,consultas_mes,77,,,profesional,alta
C-0010,2026-09-10,stand_congreso,precio_lista,5300000,,,profesional,alta
C-0010,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0010,2026-09-10,stand_congreso,consultas_mes,139,,,profesional,alta
C-0014,2026-09-10,stand_congreso,precio_lista,3100000,,,profesional,alta
C-0014,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0014,2026-09-10,stand_congreso,consultas_mes,42,,,profesional,alta
C-0020,2026-09-10,stand_congreso,precio_lista,5800000,,,profesional,alta
C-0020,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0020,2026-09-10,stand_congreso,consultas_mes,163,,,profesional,alta
C-0023,2026-09-10,stand_congreso,precio_lista,5800000,,,profesional,alta
C-0023,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0023,2026-09-10,stand_congreso,consultas_mes,163,,,profesional,alta
C-0025,2026-09-10,stand_congreso,precio_lista,2600000,,,profesional,alta
C-0025,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0025,2026-09-10,stand_congreso,consultas_mes,20,,,profesional,alta
C-0031,2026-09-10,stand_congreso,precio_lista,4100000,,,profesional,alta
C-0031,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0031,2026-09-10,stand_congreso,consultas_mes,85,,,profesional,alta
C-0032,2026-09-10,stand_congreso,precio_lista,2700000,,,profesional,alta
C-0032,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0032,2026-09-10,stand_congreso,consultas_mes,22,,,profesional,alta
C-0033,2026-09-10,stand_congreso,precio_lista,6000000,,,profesional,alta
C-0033,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0033,2026-09-10,stand_congreso,consultas_mes,171,,,profesional,alta
C-0038,2026-09-10,stand_congreso,precio_lista,3600000,,,profesional,alta
C-0038,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0038,2026-09-10,stand_congreso,consultas_mes,63,,,profesional,alta
C-0044,2026-09-10,stand_congreso,precio_lista,5600000,,,profesional,alta
C-0044,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0044,2026-09-10,stand_congreso,consultas_mes,153,,,profesional,alta
C-0045,2026-09-10,stand_congreso,precio_lista,3600000,,,profesional,alta
C-0045,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0045,2026-09-10,stand_congreso,consultas_mes,65,,,profesional,alta
C-0053,2026-09-10,stand_congreso,precio_lista,4300000,,,profesional,alta
C-0053,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0053,2026-09-10,stand_congreso,consultas_mes,93,,,profesional,alta
C-0054,2026-09-10,stand_congreso,precio_lista,5200000,,,profesional,alta
C-0054,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0054,2026-09-10,stand_congreso,consultas_mes,134,,,profesional,alta
C-0057,2026-09-10,stand_congreso,precio_lista,3200000,,,profesional,alta
C-0057,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0057,2026-09-10,stand_congreso,consultas_mes,45,,,profesional,alta
C-0060,2026-09-10,stand_congreso,precio_lista,3500000,,,profesional,alta
C-0060,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0060,2026-09-10,stand_congreso,consultas_mes,61,,,profesional,alta
C-0071,2026-09-10,stand_congreso,precio_lista,4800000,,,profesional,alta
C-0071,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0071,2026-09-10,stand_congreso,consultas_mes,119,,,profesional,alta
C-0073,2026-09-10,stand_congreso,precio_lista,4700000,,,profesional,alta
C-0073,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0073,2026-09-10,stand_congreso,consultas_mes,115,,,profesional,alta
C-0076,2026-09-10,stand_congreso,precio_lista,5200000,,,profesional,alta
C-0076,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0076,2026-09-10,stand_congreso,consultas_mes,136,,,profesional,alta
C-0077,2026-09-10,stand_congreso,precio_lista,2900000,,,profesional,alta
C-0077,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0077,2026-09-10,stand_congreso,consultas_mes,30,,,profesional,alta
C-0079,2026-09-10,stand_congreso,precio_lista,5600000,,,profesional,alta
C-0079,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0079,2026-09-10,stand_congreso,consultas_mes,152,,,profesional,alta
C-0085,2026-09-10,stand_congreso,precio_lista,3500000,,,profesional,alta
C-0085,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0085,2026-09-10,stand_congreso,consultas_mes,58,,,profesional,alta
C-0089,2026-09-10,stand_congreso,precio_lista,4500000,,,profesional,alta
C-0089,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0089,2026-09-10,stand_congreso,consultas_mes,105,,,profesional,alta
C-0091,2026-09-10,stand_congreso,precio_lista,5800000,,,profesional,alta
C-0091,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0091,2026-09-10,stand_congreso,consultas_mes,163,,,profesional,alta
C-0093,2026-09-10,stand_congreso,precio_lista,6200000,,,profesional,alta
C-0093,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0093,2026-09-10,stand_congreso,consultas_mes,181,,,profesional,alta
C-0100,2026-09-10,stand_congreso,precio_lista,6000000,,,profesional,alta
C-0100,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0100,2026-09-10,stand_congreso,consultas_mes,173,,,profesional,alta
C-0101,2026-09-10,stand_congreso,precio_lista,5400000,,,profesional,alta
C-0101,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0101,2026-09-10,stand_congreso,consultas_mes,143,,,profesional,alta
C-0109,2026-09-10,stand_congreso,precio_lista,5100000,,,profesional,alta
C-0109,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0109,2026-09-10,stand_congreso,consultas_mes,132,,,profesional,alta
C-0110,2026-09-10,stand_congreso,precio_lista,3900000,,,profesional,alta
C-0110,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0110,2026-09-10,stand_congreso,consultas_mes,79,,,profesional,alta
C-0111,2026-09-10,stand_congreso,precio_lista,5200000,,,profesional,alta
C-0111,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0111,2026-09-10,stand_congreso,consultas_mes,135,,,profesional,alta
C-0117,2026-09-10,stand_congreso,precio_lista,4500000,,,profesional,alta
C-0117,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0117,2026-09-10,stand_congreso,consultas_mes,104,,,profesional,alta
C-0120,2026-09-10,stand_congreso,precio_lista,4700000,,,profesional,alta
C-0120,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0120,2026-09-10,stand_congreso,consultas_mes,113,,,profesional,alta
C-0126,2026-09-10,stand_congreso,precio_lista,4600000,,,profesional,alta
C-0126,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0126,2026-09-10,stand_congreso,consultas_mes,108,,,profesional,alta
C-0127,2026-09-10,stand_congreso,precio_lista,3800000,,,profesional,alta
C-0127,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0127,2026-09-10,stand_congreso,consultas_mes,72,,,profesional,alta
C-0128,2026-09-10,stand_congreso,precio_lista,3300000,,,profesional,alta
C-0128,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0128,2026-09-10,stand_congreso,consultas_mes,51,,,profesional,alta
C-0135,2026-09-10,stand_congreso,precio_lista,5900000,,,profesional,alta
C-0135,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0135,2026-09-10,stand_congreso,consultas_mes,168,,,profesional,alta
C-0138,2026-09-10,stand_congreso,precio_lista,5500000,,,profesional,alta
C-0138,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0138,2026-09-10,stand_congreso,consultas_mes,147,,,profesional,alta
C-0143,2026-09-10,stand_congreso,precio_lista,5500000,,,profesional,alta
C-0143,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0143,2026-09-10,stand_congreso,consultas_mes,150,,,profesional,alta
C-0145,2026-09-10,stand_congreso,precio_lista,4600000,,,profesional,alta
C-0145,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0145,2026-09-10,stand_congreso,consultas_mes,110,,,profesional,alta
C-0153,2026-09-10,stand_congreso,precio_lista,4300000,,,profesional,alta
C-0153,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0153,2026-09-10,stand_congreso,consultas_mes,94,,,profesional,alta
C-0154,2026-09-10,stand_congreso,precio_lista,2800000,,,profesional,alta
C-0154,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0154,2026-09-10,stand_congreso,consultas_mes,28,,,profesional,alta
C-0156,2026-09-10,stand_congreso,precio_lista,4700000,,,profesional,alta
C-0156,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0156,2026-09-10,stand_congreso,consultas_mes,111,,,profesional,alta
C-0157,2026-09-10,stand_congreso,precio_lista,3700000,,,profesional,alta
C-0157,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0157,2026-09-10,stand_congreso,consultas_mes,69,,,profesional,alta
C-0159,2026-09-10,stand_congreso,precio_lista,2900000,,,profesional,alta
C-0159,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0159,2026-09-10,stand_congreso,consultas_mes,33,,,profesional,alta
C-0169,2026-09-10,stand_congreso,precio_lista,3000000,,,profesional,alta
C-0169,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0169,2026-09-10,stand_congreso,consultas_mes,37,,,profesional,alta
C-0172,2026-09-10,stand_congreso,precio_lista,4700000,,,profesional,alta
C-0172,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0172,2026-09-10,stand_congreso,consultas_mes,115,,,profesional,alta
C-0184,2026-09-10,stand_congreso,precio_lista,2900000,,,profesional,alta
C-0184,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0184,2026-09-10,stand_congreso,consultas_mes,33,,,profesional,alta
C-0185,2026-09-10,stand_congreso,precio_lista,4900000,,,profesional,alta
C-0185,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0185,2026-09-10,stand_congreso,consultas_mes,122,,,profesional,alta
C-0187,2026-09-10,stand_congreso,precio_lista,6400000,,,profesional,alta
C-0187,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0187,2026-09-10,stand_congreso,consultas_mes,189,,,profesional,alta
C-0188,2026-09-10,stand_congreso,precio_lista,2900000,,,profesional,alta
C-0188,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0188,2026-09-10,stand_congreso,consultas_mes,34,,,profesional,alta
C-0189,2026-09-10,stand_congreso,precio_lista,6000000,,,profesional,alta
C-0189,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0189,2026-09-10,stand_congreso,consultas_mes,172,,,profesional,alta
C-0191,2026-09-10,stand_congreso,precio_lista,5900000,,,profesional,alta
C-0191,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0191,2026-09-10,stand_congreso,consultas_mes,169,,,profesional,alta
C-0192,2026-09-10,stand_congreso,precio_lista,6200000,,,profesional,alta
C-0192,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0192,2026-09-10,stand_congreso,consultas_mes,182,,,profesional,alta
C-0196,2026-09-10,stand_congreso,precio_lista,2800000,,,profesional,alta
C-0196,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0196,2026-09-10,stand_congreso,consultas_mes,26,,,profesional,alta
C-0199,2026-09-10,stand_congreso,precio_lista,4700000,,,profesional,alta
C-0199,2026-09-10,stand_congreso,cobra_primera_cita,,,true,profesional,alta
C-0199,2026-09-10,stand_congreso,consultas_mes,113,,,profesional,alta
C-0200,2026-09-10,stand_congreso,precio_lista,3800000,,,profesional,alta
C-0200,2026-09-10,stand_congreso,cobra_primera_cita,,,false,profesional,alta
C-0200,2026-09-10,stand_congreso,consultas_mes,71,,,profesional,alta
