consultorio_id,directorio_id,fecha_captura,estado_perfil,existe,url_perfil,esta_reclamado,esta_verificado,calificacion,resenas_total,fecha_resena_mas_reciente,tiene_foto,tiene_horario,tiene_precio,servicios_n,nombre_perfil_crudo,metodo_emparejamiento,confianza_emparejamiento
C-0001,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/control-1,true,true,5.0,96,2026-08-18,true,true,true,12,Control Arriba,nombre_telefono,1.00
C-0001,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/control-1,true,true,5.0,96,2026-08-18,true,true,true,12,Control Arriba,nombre_telefono,1.00
C-0002,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0002,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0003,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0003,false,false,4.4,10,2026-08-25,false,false,false,1,Consultorio Echeverri 003,nombre_telefono,0.94
C-0003,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0004,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0004,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0005,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0005,false,false,4.5,11,2026-04-21,false,false,true,6,Ortodoncia Zapata 005,nombre_telefono,0.97
C-0005,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0005,true,true,4.6,24,2026-07-24,false,true,false,5,Ortodoncia Zapata 005,nombre_telefono,0.79
C-0006,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0006,true,true,4.5,37,2026-02-18,true,true,false,6,Centro Ocampo 006,nombre_telefono,0.85
C-0006,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0006,false,false,4.8,28,2026-08-25,false,false,false,5,Centro Ocampo 006,nombre_telefono,0.86
