directorio_id,consulta_texto,consulta_normalizada,municipio_id,fecha_consulta,dispositivo,posicion,resultados_total,nombre_resultado_crudo,consultorio_id,metodo_emparejamiento,confianza_emparejamiento
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,1,19,Control Arriba,C-0001,nombre_telefono,1.00
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,2,20,Consultorio Echeverri 015,C-0015,nombre_telefono,0.92
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,3,20,Clínica Restrepo 019,C-0019,nombre_telefono,0.87
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,4,20,Consultorio Villegas 020,C-0020,nombre_telefono,0.98
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,5,20,Clínica Uribe 023,C-0023,nombre_telefono,0.81
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,6,20,Consultorio Villegas 008,C-0008,nombre_telefono,0.81
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,7,20,Centro Ocampo 006,C-0006,nombre_telefono,0.85
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,8,20,Ortodoncia Cadavid 009,C-0009,nombre_telefono,0.82
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,9,20,Centro Mejía 010,C-0010,nombre_telefono,0.82
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,11,20,Clínica Betancur 016,C-0016,nombre_telefono,0.90
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,12,20,Centro Ocampo 018,C-0018,nombre_telefono,0.82
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,13,20,Ortodoncia Zapata 005,C-0005,nombre_telefono,0.83
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,14,20,Consultorio Echeverri 003,C-0003,nombre_telefono,0.92
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,15,20,Centro Mejía 022,C-0022,nombre_telefono,0.81
doctoralia,cuanto vale ortodoncia,cuanto vale ortodoncia,08001,2026-08-20,movil,16,20,Clínica Restrepo 007,C-0007,nombre_telefono,0.86
