ambito_tipo,ambito_id,indicador,periodo,valor,unidad,fuente,version_serie,fecha_captura
municipio,08001,poblacion,2026,1336000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,68001,poblacion,2026,613000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,63001,poblacion,2026,306000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,73001,poblacion,2026,542000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,41001,poblacion,2026,357000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,19001,poblacion,2026,320000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,47001,poblacion,2026,515000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,50001,poblacion,2026,553000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,66001,poblacion,2026,482000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,17001,poblacion,2026,434000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,52001,poblacion,2026,392000,habitantes,dane_proyeccion,2018-2035,2026-09-01
municipio,54001,poblacion,2026,777000,habitantes,dane_proyeccion,2018-2035,2026-09-01
