consultorio_id,handle,fecha_captura,seguidores,publicaciones_30d,interaccion_promedio_pct,es_cuenta_profesional,destino_enlace,publica_antes_despues
C-0001,fix1,2026-09-12,20000,12,4.0,true,reserva,true
C-0002,fix2,2026-09-12,120,0,0.30,false,ninguno,false
C-0003,fix3,2026-09-12,7612,9,2.61,true,sitio,false
C-0005,fix5,2026-09-12,9903,10,2.94,true,whatsapp,true
C-0006,fix6,2026-09-12,14340,12,3.49,true,whatsapp,true
C-0007,fix7,2026-09-12,12751,11,3.30,true,whatsapp,true
C-0008,fix8,2026-09-12,22707,15,4.32,true,reserva,true
C-0010,fix10,2026-09-12,12985,11,3.33,true,whatsapp,true
C-0013,fix13,2026-09-12,10356,10,3.00,true,whatsapp,true
C-0015,fix15,2026-09-12,25863,16,4.59,true,reserva,true
C-0016,fix16,2026-09-12,15413,12,3.61,true,whatsapp,true
C-0017,fix17,2026-09-12,7767,9,2.64,true,sitio,false
C-0018,fix18,2026-09-12,11969,11,3.21,true,whatsapp,true
C-0019,fix19,2026-09-12,19888,14,4.06,true,reserva,true
C-0020,fix20,2026-09-12,18592,14,3.93,true,reserva,true
C-0022,fix22,2026-09-12,5880,8,2.33,false,sitio,false
C-0023,fix23,2026-09-12,18458,13,3.92,true,reserva,true
C-0027,fix27,2026-09-12,24553,16,4.48,true,reserva,true
C-0030,fix30,2026-09-12,9047,9,2.83,true,whatsapp,false
C-0033,fix33,2026-09-12,20471,14,4.11,true,reserva,true
C-0034,fix34,2026-09-12,15550,12,3.62,true,whatsapp,true
C-0035,fix35,2026-09-12,11279,11,3.12,true,whatsapp,true
C-0039,fix39,2026-09-12,11572,11,3.16,true,whatsapp,true
C-0042,fix42,2026-09-12,5260,7,2.22,false,sitio,false
C-0043,fix43,2026-09-12,24095,15,4.44,true,reserva,true
C-0044,fix44,2026-09-12,16051,13,3.67,true,whatsapp,true
C-0046,fix46,2026-09-12,21350,14,4.19,true,reserva,true
C-0048,fix48,2026-09-12,20764,14,4.14,true,reserva,true
C-0049,fix49,2026-09-12,5417,7,2.25,false,sitio,false
C-0053,fix53,2026-09-12,5083,7,2.18,false,ninguno,false
C-0054,fix54,2026-09-12,11977,11,3.21,true,whatsapp,true
C-0055,fix55,2026-09-12,10577,10,3.03,true,whatsapp,true
C-0058,fix58,2026-09-12,19812,14,4.05,true,reserva,true
C-0064,fix64,2026-09-12,11234,10,3.12,true,whatsapp,true
C-0065,fix65,2026-09-12,9112,9,2.83,true,whatsapp,false
C-0067,fix67,2026-09-12,20416,14,4.11,true,reserva,true
C-0068,fix68,2026-09-12,21411,15,4.20,true,reserva,true
C-0069,fix69,2026-09-12,11917,11,3.20,true,whatsapp,true
C-0071,fix71,2026-09-12,9085,9,2.83,true,whatsapp,false
C-0072,fix72,2026-09-12,14830,12,3.54,true,whatsapp,true
C-0073,fix73,2026-09-12,8347,9,2.72,true,sitio,false
C-0074,fix74,2026-09-12,14208,12,3.47,true,whatsapp,true
C-0076,fix76,2026-09-12,12326,11,3.25,true,whatsapp,true
C-0078,fix78,2026-09-12,9472,10,2.88,true,whatsapp,true
C-0079,fix79,2026-09-12,15943,13,3.66,true,whatsapp,true
C-0086,fix86,2026-09-12,6244,8,2.39,false,sitio,false
C-0088,fix88,2026-09-12,17652,13,3.84,true,whatsapp,true
C-0089,fix89,2026-09-12,6813,8,2.49,true,sitio,false
C-0090,fix90,2026-09-12,16516,13,3.72,true,whatsapp,true
C-0091,fix91,2026-09-12,18612,14,3.93,true,reserva,true
C-0092,fix92,2026-09-12,14360,12,3.49,true,whatsapp,true
C-0093,fix93,2026-09-12,23494,15,4.39,true,reserva,true
C-0095,fix95,2026-09-12,7176,8,2.55,true,sitio,false
C-0096,fix96,2026-09-12,17942,13,3.87,true,whatsapp,true
C-0098,fix98,2026-09-12,15168,12,3.58,true,whatsapp,true
C-0100,fix100,2026-09-12,21105,14,4.17,true,reserva,true
C-0101,fix101,2026-09-12,13733,12,3.42,true,whatsapp,true
C-0104,fix104,2026-09-12,21950,15,4.25,true,reserva,true
C-0105,fix105,2026-09-12,7712,9,2.63,true,sitio,false
C-0108,fix108,2026-09-12,25803,16,4.58,true,reserva,true
C-0109,fix109,2026-09-12,11429,11,3.14,true,whatsapp,true
C-0111,fix111,2026-09-12,12192,11,3.24,true,whatsapp,true
C-0112,fix112,2026-09-12,19087,14,3.98,true,reserva,true
C-0113,fix113,2026-09-12,10696,10,3.05,true,whatsapp,true
C-0114,fix114,2026-09-12,6902,8,2.50,true,sitio,false
C-0116,fix116,2026-09-12,6153,8,2.38,false,sitio,false
C-0117,fix117,2026-09-12,6550,8,2.44,false,sitio,false
C-0118,fix118,2026-09-12,6735,8,2.47,true,sitio,false
C-0120,fix120,2026-09-12,7991,9,2.67,true,sitio,false
C-0121,fix121,2026-09-12,5777,7,2.31,false,sitio,false
C-0123,fix123,2026-09-12,19844,14,4.05,true,reserva,true
C-0124,fix124,2026-09-12,22043,15,4.26,true,reserva,true
C-0125,fix125,2026-09-12,18741,14,3.95,true,reserva,true
C-0126,fix126,2026-09-12,7267,8,2.56,true,sitio,false
C-0130,fix130,2026-09-12,22124,15,4.26,true,reserva,true
C-0131,fix131,2026-09-12,8320,9,2.72,true,sitio,false
C-0133,fix133,2026-09-12,6074,8,2.36,false,sitio,false
C-0134,fix134,2026-09-12,23179,15,4.36,true,reserva,true
C-0135,fix135,2026-09-12,19846,14,4.05,true,reserva,true
C-0136,fix136,2026-09-12,18317,13,3.91,true,whatsapp,true
C-0137,fix137,2026-09-12,17362,13,3.81,true,whatsapp,true
C-0138,fix138,2026-09-12,14782,12,3.54,true,whatsapp,true
C-0140,fix140,2026-09-12,9976,10,2.95,true,whatsapp,true
C-0141,fix141,2026-09-12,9815,10,2.93,true,whatsapp,true
C-0143,fix143,2026-09-12,15275,12,3.59,true,whatsapp,true
C-0145,fix145,2026-09-12,7560,9,2.61,true,sitio,false
C-0148,fix148,2026-09-12,9944,10,2.95,true,whatsapp,true
C-0149,fix149,2026-09-12,5348,7,2.23,false,sitio,false
C-0152,fix152,2026-09-12,12140,11,3.23,true,whatsapp,true
C-0153,fix153,2026-09-12,5194,7,2.20,false,sitio,false
C-0156,fix156,2026-09-12,7692,9,2.63,true,sitio,false
C-0158,fix158,2026-09-12,9431,10,2.88,true,whatsapp,false
C-0160,fix160,2026-09-12,9230,9,2.85,true,whatsapp,false
C-0161,fix161,2026-09-12,6064,8,2.36,false,sitio,false
C-0162,fix162,2026-09-12,16000,13,3.67,true,whatsapp,true
C-0164,fix164,2026-09-12,5411,7,2.24,false,sitio,false
C-0165,fix165,2026-09-12,5568,7,2.27,false,sitio,false
C-0167,fix167,2026-09-12,5199,7,2.20,false,sitio,false
C-0168,fix168,2026-09-12,12742,11,3.30,true,whatsapp,true
C-0170,fix170,2026-09-12,10458,10,3.02,true,whatsapp,true
C-0171,fix171,2026-09-12,10024,10,2.96,true,whatsapp,true
C-0172,fix172,2026-09-12,8339,9,2.72,true,sitio,false
C-0173,fix173,2026-09-12,8562,9,2.76,true,sitio,false
C-0174,fix174,2026-09-12,19016,14,3.97,true,reserva,true
C-0175,fix175,2026-09-12,7196,8,2.55,true,sitio,false
C-0177,fix177,2026-09-12,20422,14,4.11,true,reserva,true
C-0179,fix179,2026-09-12,9458,10,2.88,true,whatsapp,true
C-0180,fix180,2026-09-12,12170,11,3.23,true,whatsapp,true
C-0181,fix181,2026-09-12,24831,16,4.50,true,reserva,true
C-0185,fix185,2026-09-12,9644,10,2.91,true,whatsapp,true
C-0186,fix186,2026-09-12,6486,8,2.43,false,sitio,false
C-0187,fix187,2026-09-12,25598,16,4.57,true,reserva,true
C-0189,fix189,2026-09-12,20876,14,4.15,true,reserva,true
C-0190,fix190,2026-09-12,16206,13,3.69,true,whatsapp,true
C-0191,fix191,2026-09-12,20100,14,4.08,true,reserva,true
C-0192,fix192,2026-09-12,23731,15,4.41,true,reserva,true
C-0197,fix197,2026-09-12,9827,10,2.93,true,whatsapp,true
C-0199,fix199,2026-09-12,7988,9,2.67,true,sitio,false
