consultorio_id,fecha_publicacion,calificacion,tiene_respuesta_del_negocio,dias_hasta_respuesta,fecha_captura
C-0006,2026-08-23,5,true,2,2026-09-12
C-0006,2026-07-09,5,true,2,2026-09-12
C-0006,2026-05-25,5,true,2,2026-09-12
C-0009,2026-08-23,4,false,,2026-09-12
C-0009,2026-07-09,4,false,,2026-09-12
C-0009,2026-05-25,4,false,,2026-09-12
C-0016,2026-08-23,5,true,2,2026-09-12
C-0016,2026-07-09,5,true,2,2026-09-12
C-0016,2026-05-25,5,true,2,2026-09-12
C-0018,2026-08-23,5,true,2,2026-09-12
C-0018,2026-07-09,5,true,2,2026-09-12
C-0018,2026-05-25,5,true,2,2026-09-12
C-0019,2026-08-23,5,true,2,2026-09-12
C-0019,2026-07-09,5,true,2,2026-09-12
C-0019,2026-05-25,5,true,2,2026-09-12
C-0020,2026-08-23,5,true,2,2026-09-12
C-0020,2026-07-09,5,true,2,2026-09-12
C-0020,2026-05-25,5,true,2,2026-09-12
C-0021,2026-08-23,4,false,,2026-09-12
C-0021,2026-07-09,4,false,,2026-09-12
C-0021,2026-05-25,4,false,,2026-09-12
C-0022,2026-08-23,4,false,,2026-09-12
C-0022,2026-07-09,4,false,,2026-09-12
C-0022,2026-05-25,4,false,,2026-09-12
C-0025,2026-08-23,4,false,,2026-09-12
C-0025,2026-07-09,4,false,,2026-09-12
C-0025,2026-05-25,4,false,,2026-09-12
C-0028,2026-08-23,4,false,,2026-09-12
C-0028,2026-07-09,4,false,,2026-09-12
C-0028,2026-05-25,4,false,,2026-09-12
C-0029,2026-08-23,4,false,,2026-09-12
C-0029,2026-07-09,4,false,,2026-09-12
C-0029,2026-05-25,4,false,,2026-09-12
C-0030,2026-08-23,5,false,,2026-09-12
C-0030,2026-07-09,5,false,,2026-09-12
C-0030,2026-05-25,5,false,,2026-09-12
C-0031,2026-08-23,4,false,,2026-09-12
C-0031,2026-07-09,4,false,,2026-09-12
C-0031,2026-05-25,4,false,,2026-09-12
C-0035,2026-08-23,5,true,2,2026-09-12
C-0035,2026-07-09,5,true,2,2026-09-12
C-0035,2026-05-25,5,true,2,2026-09-12
C-0045,2026-08-23,4,false,,2026-09-12
C-0045,2026-07-09,4,false,,2026-09-12
C-0045,2026-05-25,4,false,,2026-09-12
C-0047,2026-08-23,4,false,,2026-09-12
C-0047,2026-07-09,4,false,,2026-09-12
C-0047,2026-05-25,4,false,,2026-09-12
C-0048,2026-08-23,5,true,2,2026-09-12
C-0048,2026-07-09,5,true,2,2026-09-12
C-0048,2026-05-25,5,true,2,2026-09-12
C-0050,2026-08-23,4,false,,2026-09-12
C-0050,2026-07-09,4,false,,2026-09-12
C-0050,2026-05-25,4,false,,2026-09-12
C-0051,2026-08-23,4,false,,2026-09-12
C-0051,2026-07-09,4,false,,2026-09-12
C-0051,2026-05-25,4,false,,2026-09-12
C-0052,2026-08-23,4,false,,2026-09-12
