consulta_texto,consulta_normalizada,municipio_id,fecha_consulta,dispositivo,bloque,posicion,nombre_resultado_crudo,consultorio_id,metodo_emparejamiento,confianza_emparejamiento
ortodoncista en Barranquilla,ortodoncista-0-08001,08001,2026-09-11,movil,paquete_local,1,Ortodoncia Sanmiguel 001,C-0001,place_id,1.0
ortodoncista en Barranquilla,ortodoncista-0-08001,08001,2026-09-11,movil,paquete_local,2,Consultorio Echeverri 015,C-0015,place_id,1.0
ortodoncista en Barranquilla,ortodoncista-0-08001,08001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 020,C-0020,place_id,1.0
brackets precio en Barranquilla,brackets-precio-1-08001,08001,2026-09-11,movil,paquete_local,1,Ortodoncia Sanmiguel 001,C-0001,place_id,1.0
brackets precio en Barranquilla,brackets-precio-1-08001,08001,2026-09-11,movil,paquete_local,2,Consultorio Villegas 008,C-0008,place_id,1.0
brackets precio en Barranquilla,brackets-precio-1-08001,08001,2026-09-11,movil,paquete_local,3,Clínica Restrepo 019,C-0019,place_id,1.0
ortodoncia invisible en Barranquilla,ortodoncia-invisible-2-08001,08001,2026-09-11,movil,paquete_local,1,Ortodoncia Sanmiguel 001,C-0001,place_id,1.0
ortodoncia invisible en Barranquilla,ortodoncia-invisible-2-08001,08001,2026-09-11,movil,paquete_local,2,Consultorio Echeverri 015,C-0015,place_id,1.0
ortodoncia invisible en Barranquilla,ortodoncia-invisible-2-08001,08001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 020,C-0020,place_id,1.0
ortodoncista cerca de mi en Barranquilla,ortodoncista-cerca-de-mi-3-08001,08001,2026-09-11,movil,paquete_local,1,Ortodoncia Sanmiguel 001,C-0001,place_id,1.0
ortodoncista cerca de mi en Barranquilla,ortodoncista-cerca-de-mi-3-08001,08001,2026-09-11,movil,paquete_local,2,Consultorio Villegas 020,C-0020,place_id,1.0
ortodoncista cerca de mi en Barranquilla,ortodoncista-cerca-de-mi-3-08001,08001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 008,C-0008,place_id,1.0
clinica de ortodoncia en Barranquilla,clinica-de-ortodoncia-4-08001,08001,2026-09-11,movil,paquete_local,1,Ortodoncia Sanmiguel 001,C-0001,place_id,1.0
clinica de ortodoncia en Barranquilla,clinica-de-ortodoncia-4-08001,08001,2026-09-11,movil,paquete_local,2,Clínica Restrepo 019,C-0019,place_id,1.0
clinica de ortodoncia en Barranquilla,clinica-de-ortodoncia-4-08001,08001,2026-09-11,movil,paquete_local,3,Clínica Uribe 023,C-0023,place_id,1.0
ortodoncista en Bucaramanga,ortodoncista-0-68001,68001,2026-09-11,movil,paquete_local,1,Consultorio Echeverri 027,C-0027,place_id,1.0
ortodoncista en Bucaramanga,ortodoncista-0-68001,68001,2026-09-11,movil,paquete_local,2,Centro Mejía 046,C-0046,place_id,1.0
ortodoncista en Bucaramanga,ortodoncista-0-68001,68001,2026-09-11,movil,paquete_local,3,Clínica Restrepo 043,C-0043,place_id,1.0
brackets precio en Bucaramanga,brackets-precio-1-68001,68001,2026-09-11,movil,paquete_local,1,Consultorio Echeverri 027,C-0027,place_id,1.0
brackets precio en Bucaramanga,brackets-precio-1-68001,68001,2026-09-11,movil,paquete_local,2,Centro Mejía 046,C-0046,place_id,1.0
brackets precio en Bucaramanga,brackets-precio-1-68001,68001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 044,C-0044,place_id,1.0
ortodoncia invisible en Bucaramanga,ortodoncia-invisible-2-68001,68001,2026-09-11,movil,paquete_local,1,Ortodoncia Cadavid 033,C-0033,place_id,1.0
ortodoncia invisible en Bucaramanga,ortodoncia-invisible-2-68001,68001,2026-09-11,movil,paquete_local,2,Clínica Arboleda 048,C-0048,place_id,1.0
ortodoncia invisible en Bucaramanga,ortodoncia-invisible-2-68001,68001,2026-09-11,movil,paquete_local,3,Consultorio Echeverri 027,C-0027,place_id,1.0
ortodoncista cerca de mi en Bucaramanga,ortodoncista-cerca-de-mi-3-68001,68001,2026-09-11,movil,paquete_local,1,Clínica Arboleda 048,C-0048,place_id,1.0
ortodoncista cerca de mi en Bucaramanga,ortodoncista-cerca-de-mi-3-68001,68001,2026-09-11,movil,paquete_local,2,Centro Mejía 046,C-0046,place_id,1.0
ortodoncista cerca de mi en Bucaramanga,ortodoncista-cerca-de-mi-3-68001,68001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 044,C-0044,place_id,1.0
clinica de ortodoncia en Bucaramanga,clinica-de-ortodoncia-4-68001,68001,2026-09-11,movil,paquete_local,1,Consultorio Echeverri 027,C-0027,place_id,1.0
clinica de ortodoncia en Bucaramanga,clinica-de-ortodoncia-4-68001,68001,2026-09-11,movil,paquete_local,2,Ortodoncia Cadavid 033,C-0033,place_id,1.0
clinica de ortodoncia en Bucaramanga,clinica-de-ortodoncia-4-68001,68001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 044,C-0044,place_id,1.0
ortodoncista en Armenia,ortodoncista-0-63001,63001,2026-09-11,movil,paquete_local,1,Centro Mejía 058,C-0058,place_id,1.0
ortodoncista en Armenia,ortodoncista-0-63001,63001,2026-09-11,movil,paquete_local,2,Clínica Betancur 064,C-0064,place_id,1.0
ortodoncista en Armenia,ortodoncista-0-63001,63001,2026-09-11,movil,paquete_local,3,Centro Ocampo 054,C-0054,place_id,1.0
brackets precio en Armenia,brackets-precio-1-63001,63001,2026-09-11,movil,paquete_local,1,Centro Mejía 058,C-0058,place_id,1.0
brackets precio en Armenia,brackets-precio-1-63001,63001,2026-09-11,movil,paquete_local,2,Clínica Restrepo 055,C-0055,place_id,1.0
brackets precio en Armenia,brackets-precio-1-63001,63001,2026-09-11,movil,paquete_local,3,Centro Ocampo 054,C-0054,place_id,1.0
ortodoncia invisible en Armenia,ortodoncia-invisible-2-63001,63001,2026-09-11,movil,paquete_local,1,Centro Mejía 058,C-0058,place_id,1.0
ortodoncia invisible en Armenia,ortodoncia-invisible-2-63001,63001,2026-09-11,movil,paquete_local,2,Centro Ocampo 054,C-0054,place_id,1.0
ortodoncia invisible en Armenia,ortodoncia-invisible-2-63001,63001,2026-09-11,movil,paquete_local,3,Clínica Betancur 064,C-0064,place_id,1.0
ortodoncista cerca de mi en Armenia,ortodoncista-cerca-de-mi-3-63001,63001,2026-09-11,movil,paquete_local,1,Ortodoncia Zapata 065,C-0065,place_id,1.0
ortodoncista cerca de mi en Armenia,ortodoncista-cerca-de-mi-3-63001,63001,2026-09-11,movil,paquete_local,2,Centro Ocampo 054,C-0054,place_id,1.0
ortodoncista cerca de mi en Armenia,ortodoncista-cerca-de-mi-3-63001,63001,2026-09-11,movil,paquete_local,3,Centro Mejía 058,C-0058,place_id,1.0
clinica de ortodoncia en Armenia,clinica-de-ortodoncia-4-63001,63001,2026-09-11,movil,paquete_local,1,Centro Mejía 058,C-0058,place_id,1.0
clinica de ortodoncia en Armenia,clinica-de-ortodoncia-4-63001,63001,2026-09-11,movil,paquete_local,2,Centro Ocampo 054,C-0054,place_id,1.0
clinica de ortodoncia en Armenia,clinica-de-ortodoncia-4-63001,63001,2026-09-11,movil,paquete_local,3,Clínica Betancur 064,C-0064,place_id,1.0
ortodoncista en Ibagué,ortodoncista-0-73001,73001,2026-09-11,movil,paquete_local,1,Clínica Restrepo 067,C-0067,place_id,1.0
ortodoncista en Ibagué,ortodoncista-0-73001,73001,2026-09-11,movil,paquete_local,2,Consultorio Villegas 068,C-0068,place_id,1.0
ortodoncista en Ibagué,ortodoncista-0-73001,73001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 072,C-0072,place_id,1.0
brackets precio en Ibagué,brackets-precio-1-73001,73001,2026-09-11,movil,paquete_local,1,Consultorio Villegas 068,C-0068,place_id,1.0
brackets precio en Ibagué,brackets-precio-1-73001,73001,2026-09-11,movil,paquete_local,2,Clínica Restrepo 067,C-0067,place_id,1.0
brackets precio en Ibagué,brackets-precio-1-73001,73001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 072,C-0072,place_id,1.0
ortodoncia invisible en Ibagué,ortodoncia-invisible-2-73001,73001,2026-09-11,movil,paquete_local,1,Consultorio Villegas 068,C-0068,place_id,1.0
ortodoncia invisible en Ibagué,ortodoncia-invisible-2-73001,73001,2026-09-11,movil,paquete_local,2,Clínica Arboleda 072,C-0072,place_id,1.0
ortodoncia invisible en Ibagué,ortodoncia-invisible-2-73001,73001,2026-09-11,movil,paquete_local,3,Centro Valderrama 074,C-0074,place_id,1.0
ortodoncista cerca de mi en Ibagué,ortodoncista-cerca-de-mi-3-73001,73001,2026-09-11,movil,paquete_local,1,Consultorio Villegas 068,C-0068,place_id,1.0
ortodoncista cerca de mi en Ibagué,ortodoncista-cerca-de-mi-3-73001,73001,2026-09-11,movil,paquete_local,2,Clínica Restrepo 079,C-0079,place_id,1.0
ortodoncista cerca de mi en Ibagué,ortodoncista-cerca-de-mi-3-73001,73001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 072,C-0072,place_id,1.0
clinica de ortodoncia en Ibagué,clinica-de-ortodoncia-4-73001,73001,2026-09-11,movil,paquete_local,1,Clínica Restrepo 067,C-0067,place_id,1.0
clinica de ortodoncia en Ibagué,clinica-de-ortodoncia-4-73001,73001,2026-09-11,movil,paquete_local,2,Consultorio Villegas 068,C-0068,place_id,1.0
clinica de ortodoncia en Ibagué,clinica-de-ortodoncia-4-73001,73001,2026-09-11,movil,paquete_local,3,Clínica Restrepo 079,C-0079,place_id,1.0
ortodoncista en Neiva,ortodoncista-0-41001,41001,2026-09-11,movil,paquete_local,1,Ortodoncia Cadavid 093,C-0093,place_id,1.0
ortodoncista en Neiva,ortodoncista-0-41001,41001,2026-09-11,movil,paquete_local,2,Clínica Betancur 088,C-0088,place_id,1.0
ortodoncista en Neiva,ortodoncista-0-41001,41001,2026-09-11,movil,paquete_local,3,Clínica Restrepo 091,C-0091,place_id,1.0
brackets precio en Neiva,brackets-precio-1-41001,41001,2026-09-11,movil,paquete_local,1,Ortodoncia Cadavid 093,C-0093,place_id,1.0
brackets precio en Neiva,brackets-precio-1-41001,41001,2026-09-11,movil,paquete_local,2,Clínica Betancur 088,C-0088,place_id,1.0
brackets precio en Neiva,brackets-precio-1-41001,41001,2026-09-11,movil,paquete_local,3,Clínica Restrepo 091,C-0091,place_id,1.0
ortodoncia invisible en Neiva,ortodoncia-invisible-2-41001,41001,2026-09-11,movil,paquete_local,1,Ortodoncia Cadavid 093,C-0093,place_id,1.0
ortodoncia invisible en Neiva,ortodoncia-invisible-2-41001,41001,2026-09-11,movil,paquete_local,2,Centro Ocampo 090,C-0090,place_id,1.0
ortodoncia invisible en Neiva,ortodoncia-invisible-2-41001,41001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 092,C-0092,place_id,1.0
ortodoncista cerca de mi en Neiva,ortodoncista-cerca-de-mi-3-41001,41001,2026-09-11,movil,paquete_local,1,Ortodoncia Cadavid 093,C-0093,place_id,1.0
ortodoncista cerca de mi en Neiva,ortodoncista-cerca-de-mi-3-41001,41001,2026-09-11,movil,paquete_local,2,Centro Ocampo 090,C-0090,place_id,1.0
ortodoncista cerca de mi en Neiva,ortodoncista-cerca-de-mi-3-41001,41001,2026-09-11,movil,paquete_local,3,Clínica Restrepo 091,C-0091,place_id,1.0
clinica de ortodoncia en Neiva,clinica-de-ortodoncia-4-41001,41001,2026-09-11,movil,paquete_local,1,Ortodoncia Cadavid 093,C-0093,place_id,1.0
clinica de ortodoncia en Neiva,clinica-de-ortodoncia-4-41001,41001,2026-09-11,movil,paquete_local,2,Clínica Betancur 088,C-0088,place_id,1.0
clinica de ortodoncia en Neiva,clinica-de-ortodoncia-4-41001,41001,2026-09-11,movil,paquete_local,3,Clínica Restrepo 091,C-0091,place_id,1.0
ortodoncista en Popayán,ortodoncista-0-19001,19001,2026-09-11,movil,paquete_local,1,Clínica Arboleda 108,C-0108,place_id,1.0
ortodoncista en Popayán,ortodoncista-0-19001,19001,2026-09-11,movil,paquete_local,2,Clínica Betancur 100,C-0100,place_id,1.0
ortodoncista en Popayán,ortodoncista-0-19001,19001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 096,C-0096,place_id,1.0
brackets precio en Popayán,brackets-precio-1-19001,19001,2026-09-11,movil,paquete_local,1,Clínica Arboleda 108,C-0108,place_id,1.0
brackets precio en Popayán,brackets-precio-1-19001,19001,2026-09-11,movil,paquete_local,2,Consultorio Villegas 104,C-0104,place_id,1.0
brackets precio en Popayán,brackets-precio-1-19001,19001,2026-09-11,movil,paquete_local,3,Centro Valderrama 098,C-0098,place_id,1.0
ortodoncia invisible en Popayán,ortodoncia-invisible-2-19001,19001,2026-09-11,movil,paquete_local,1,Clínica Arboleda 108,C-0108,place_id,1.0
ortodoncia invisible en Popayán,ortodoncia-invisible-2-19001,19001,2026-09-11,movil,paquete_local,2,Clínica Betancur 100,C-0100,place_id,1.0
ortodoncia invisible en Popayán,ortodoncia-invisible-2-19001,19001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 104,C-0104,place_id,1.0
ortodoncista cerca de mi en Popayán,ortodoncista-cerca-de-mi-3-19001,19001,2026-09-11,movil,paquete_local,1,Consultorio Villegas 104,C-0104,place_id,1.0
ortodoncista cerca de mi en Popayán,ortodoncista-cerca-de-mi-3-19001,19001,2026-09-11,movil,paquete_local,2,Clínica Betancur 100,C-0100,place_id,1.0
ortodoncista cerca de mi en Popayán,ortodoncista-cerca-de-mi-3-19001,19001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 108,C-0108,place_id,1.0
clinica de ortodoncia en Popayán,clinica-de-ortodoncia-4-19001,19001,2026-09-11,movil,paquete_local,1,Clínica Arboleda 108,C-0108,place_id,1.0
clinica de ortodoncia en Popayán,clinica-de-ortodoncia-4-19001,19001,2026-09-11,movil,paquete_local,2,Consultorio Villegas 104,C-0104,place_id,1.0
clinica de ortodoncia en Popayán,clinica-de-ortodoncia-4-19001,19001,2026-09-11,movil,paquete_local,3,Centro Valderrama 098,C-0098,place_id,1.0
ortodoncista en Santa Marta,ortodoncista-0-47001,47001,2026-09-11,movil,paquete_local,1,Clínica Betancur 112,C-0112,place_id,1.0
ortodoncista en Santa Marta,ortodoncista-0-47001,47001,2026-09-11,movil,paquete_local,2,Ortodoncia Zapata 113,C-0113,place_id,1.0
ortodoncista en Santa Marta,ortodoncista-0-47001,47001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 120,C-0120,place_id,1.0
brackets precio en Santa Marta,brackets-precio-1-47001,47001,2026-09-11,movil,paquete_local,1,Clínica Betancur 112,C-0112,place_id,1.0
brackets precio en Santa Marta,brackets-precio-1-47001,47001,2026-09-11,movil,paquete_local,2,Consultorio Echeverri 111,C-0111,place_id,1.0
brackets precio en Santa Marta,brackets-precio-1-47001,47001,2026-09-11,movil,paquete_local,3,Ortodoncia Sanmiguel 109,C-0109,place_id,1.0
ortodoncia invisible en Santa Marta,ortodoncia-invisible-2-47001,47001,2026-09-11,movil,paquete_local,1,Consultorio Echeverri 111,C-0111,place_id,1.0
ortodoncia invisible en Santa Marta,ortodoncia-invisible-2-47001,47001,2026-09-11,movil,paquete_local,2,Clínica Betancur 112,C-0112,place_id,1.0
