consultorio_id,dominio,fecha_rastreo,estado_rastreo,tiene_reserva_online,tiene_pago_en_linea,es_movil_responsive,plataforma_agenda_detectada
C-0001,fix1.co,2026-09-13,ok,true,true,true,dentalink
C-0002,fix2.co,2026-09-13,ok,false,false,false,ninguno
C-0003,fix3.co,2026-09-13,ok,false,false,true,ninguno
C-0005,fix5.co,2026-09-13,ok,false,false,true,ninguno
C-0006,fix6.co,2026-09-13,ok,true,false,true,ninguno
C-0007,fix7.co,2026-09-13,ok,false,false,true,ninguno
C-0008,fix8.co,2026-09-13,ok,true,true,true,dentalink
C-0009,fix9.co,2026-09-13,ok,false,false,true,ninguno
C-0010,fix10.co,2026-09-13,ok,true,false,true,ninguno
C-0011,fix11.co,2026-09-13,error_dns,,,,
C-0012,fix12.co,2026-09-13,ok,false,false,true,ninguno
C-0013,fix13.co,2026-09-13,ok,false,false,true,ninguno
C-0015,fix15.co,2026-09-13,ok,true,true,true,dentalink
C-0016,fix16.co,2026-09-13,ok,true,false,true,agendapro
C-0017,fix17.co,2026-09-13,error_dns,,,,
C-0018,fix18.co,2026-09-13,ok,false,false,true,ninguno
C-0019,fix19.co,2026-09-13,ok,true,true,true,agendapro
C-0020,fix20.co,2026-09-13,ok,true,false,true,agendapro
C-0022,fix22.co,2026-09-13,ok,false,false,true,ninguno
C-0023,fix23.co,2026-09-13,ok,true,false,true,agendapro
C-0026,fix26.co,2026-09-13,ok,false,false,true,ninguno
C-0027,fix27.co,2026-09-13,timeout,,,,
C-0030,fix30.co,2026-09-13,ok,false,false,true,ninguno
C-0031,fix31.co,2026-09-13,error_dns,,,,
C-0033,fix33.co,2026-09-13,ok,true,true,true,dentalink
C-0034,fix34.co,2026-09-13,ok,true,false,true,agendapro
C-0035,fix35.co,2026-09-13,ok,false,false,true,ninguno
C-0037,fix37.co,2026-09-13,ok,false,false,true,ninguno
C-0039,fix39.co,2026-09-13,ok,false,false,true,ninguno
C-0040,fix40.co,2026-09-13,ok,false,false,false,ninguno
C-0041,fix41.co,2026-09-13,ok,false,false,true,ninguno
C-0042,fix42.co,2026-09-13,ok,false,false,true,ninguno
C-0043,fix43.co,2026-09-13,ok,true,true,true,dentalink
C-0044,fix44.co,2026-09-13,ok,true,false,true,agendapro
C-0046,fix46.co,2026-09-13,error_dns,,,,
C-0047,fix47.co,2026-09-13,ok,false,false,true,ninguno
C-0048,fix48.co,2026-09-13,ok,true,true,true,dentalink
C-0049,fix49.co,2026-09-13,ok,false,false,true,ninguno
C-0050,fix50.co,2026-09-13,ok,false,false,false,ninguno
C-0052,fix52.co,2026-09-13,ok,false,false,true,ninguno
C-0053,fix53.co,2026-09-13,ok,false,false,true,ninguno
C-0054,fix54.co,2026-09-13,ok,false,false,true,ninguno
C-0055,fix55.co,2026-09-13,ok,false,false,true,ninguno
C-0056,fix56.co,2026-09-13,ok,false,false,true,ninguno
C-0058,fix58.co,2026-09-13,ok,true,true,true,agendapro
C-0061,fix61.co,2026-09-13,ok,false,false,true,ninguno
C-0062,fix62.co,2026-09-13,ok,false,false,true,ninguno
C-0063,fix63.co,2026-09-13,timeout,,,,
C-0064,fix64.co,2026-09-13,ok,false,false,true,ninguno
C-0065,fix65.co,2026-09-13,ok,false,false,true,ninguno
C-0066,fix66.co,2026-09-13,ok,false,false,false,ninguno
C-0067,fix67.co,2026-09-13,ok,true,true,true,dentalink
C-0068,fix68.co,2026-09-13,ok,true,true,true,dentalink
C-0069,fix69.co,2026-09-13,ok,false,false,true,ninguno
C-0071,fix71.co,2026-09-13,ok,false,false,true,ninguno
C-0072,fix72.co,2026-09-13,ok,true,false,true,agendapro
C-0073,fix73.co,2026-09-13,ok,false,false,true,ninguno
C-0074,fix74.co,2026-09-13,timeout,,,,
C-0076,fix76.co,2026-09-13,ok,false,false,true,ninguno
C-0078,fix78.co,2026-09-13,ok,false,false,true,ninguno
C-0079,fix79.co,2026-09-13,ok,true,false,true,agendapro
C-0080,fix80.co,2026-09-13,ok,false,false,false,ninguno
C-0083,fix83.co,2026-09-13,ok,false,false,false,ninguno
C-0084,fix84.co,2026-09-13,ok,false,false,true,ninguno
C-0086,fix86.co,2026-09-13,ok,false,false,true,ninguno
C-0088,fix88.co,2026-09-13,ok,true,false,true,agendapro
C-0089,fix89.co,2026-09-13,ok,false,false,true,ninguno
C-0090,fix90.co,2026-09-13,ok,true,false,true,agendapro
C-0091,fix91.co,2026-09-13,ok,true,false,true,agendapro
C-0092,fix92.co,2026-09-13,ok,true,false,true,ninguno
C-0093,fix93.co,2026-09-13,ok,true,true,true,dentalink
C-0094,fix94.co,2026-09-13,ok,false,false,true,ninguno
C-0095,fix95.co,2026-09-13,ok,false,false,true,ninguno
C-0096,fix96.co,2026-09-13,ok,true,false,true,agendapro
C-0098,fix98.co,2026-09-13,ok,true,false,true,agendapro
C-0099,fix99.co,2026-09-13,ok,false,false,false,ninguno
C-0100,fix100.co,2026-09-13,timeout,,,,
C-0101,fix101.co,2026-09-13,timeout,,,,
C-0104,fix104.co,2026-09-13,ok,true,true,true,dentalink
C-0105,fix105.co,2026-09-13,ok,false,false,true,ninguno
C-0108,fix108.co,2026-09-13,ok,true,true,true,dentalink
C-0109,fix109.co,2026-09-13,error_dns,,,,
C-0110,fix110.co,2026-09-13,ok,false,false,true,ninguno
C-0111,fix111.co,2026-09-13,ok,false,false,true,ninguno
C-0112,fix112.co,2026-09-13,ok,true,false,true,agendapro
C-0113,fix113.co,2026-09-13,ok,false,false,true,ninguno
C-0114,fix114.co,2026-09-13,ok,false,false,true,ninguno
C-0116,fix116.co,2026-09-13,ok,false,false,true,ninguno
C-0117,fix117.co,2026-09-13,ok,false,false,true,ninguno
C-0118,fix118.co,2026-09-13,ok,false,false,true,ninguno
C-0120,fix120.co,2026-09-13,ok,false,false,true,ninguno
C-0121,fix121.co,2026-09-13,ok,false,false,true,ninguno
C-0123,fix123.co,2026-09-13,ok,true,true,true,agendapro
C-0124,fix124.co,2026-09-13,ok,true,true,true,dentalink
C-0125,fix125.co,2026-09-13,timeout,,,,
C-0126,fix126.co,2026-09-13,ok,false,false,true,ninguno
C-0127,fix127.co,2026-09-13,ok,false,false,false,ninguno
C-0130,fix130.co,2026-09-13,ok,true,true,true,dentalink
C-0131,fix131.co,2026-09-13,ok,false,false,true,ninguno
C-0132,fix132.co,2026-09-13,ok,false,false,false,ninguno
C-0133,fix133.co,2026-09-13,ok,false,false,true,ninguno
C-0134,fix134.co,2026-09-13,ok,true,true,true,dentalink
C-0135,fix135.co,2026-09-13,ok,true,true,true,agendapro
C-0136,fix136.co,2026-09-13,ok,true,false,true,agendapro
C-0137,fix137.co,2026-09-13,ok,true,false,true,agendapro
C-0138,fix138.co,2026-09-13,ok,true,false,true,agendapro
C-0139,fix139.co,2026-09-13,ok,false,false,true,ninguno
C-0140,fix140.co,2026-09-13,ok,false,false,true,ninguno
C-0141,fix141.co,2026-09-13,ok,false,false,true,ninguno
C-0142,fix142.co,2026-09-13,ok,false,false,true,ninguno
C-0143,fix143.co,2026-09-13,ok,true,false,true,agendapro
C-0145,fix145.co,2026-09-13,ok,false,false,true,ninguno
C-0148,fix148.co,2026-09-13,timeout,,,,
C-0149,fix149.co,2026-09-13,ok,false,false,true,ninguno
C-0152,fix152.co,2026-09-13,timeout,,,,
C-0153,fix153.co,2026-09-13,ok,false,false,true,ninguno
C-0156,fix156.co,2026-09-13,ok,false,false,true,ninguno
C-0158,fix158.co,2026-09-13,ok,false,false,true,ninguno
C-0160,fix160.co,2026-09-13,ok,false,false,true,ninguno
C-0161,fix161.co,2026-09-13,timeout,,,,
C-0162,fix162.co,2026-09-13,ok,true,false,true,agendapro
