consulta_texto,consulta_normalizada,vertical,tipo_intencion,conjunto,ambito_tipo,ambito_id,fecha_captura,herramienta,ventana,volumen_mes,cpc_estimado,dificultad_seo
ortodoncista en Barranquilla,ortodoncista-0-08001,ortodoncia,servicio,nucleo,municipio,08001,2026-09-05,ubersuggest,12m,185,1200,8
brackets precio en Barranquilla,brackets-precio-1-08001,ortodoncia,precio,nucleo,municipio,08001,2026-09-05,ubersuggest,12m,152,1500,12
ortodoncia invisible en Barranquilla,ortodoncia-invisible-2-08001,ortodoncia,servicio,nucleo,municipio,08001,2026-09-05,ubersuggest,12m,119,1800,16
ortodoncista cerca de mi en Barranquilla,ortodoncista-cerca-de-mi-3-08001,ortodoncia,servicio,nucleo,municipio,08001,2026-09-05,ubersuggest,12m,86,2100,20
clinica de ortodoncia en Barranquilla,clinica-de-ortodoncia-4-08001,ortodoncia,servicio,nucleo,municipio,08001,2026-09-05,ubersuggest,12m,53,2400,24
ortodoncista en Bucaramanga,ortodoncista-0-68001,ortodoncia,servicio,nucleo,municipio,68001,2026-09-05,ubersuggest,12m,95,1200,8
brackets precio en Bucaramanga,brackets-precio-1-68001,ortodoncia,precio,nucleo,municipio,68001,2026-09-05,ubersuggest,12m,80,1500,12
ortodoncia invisible en Bucaramanga,ortodoncia-invisible-2-68001,ortodoncia,servicio,nucleo,municipio,68001,2026-09-05,ubersuggest,12m,65,1800,16
ortodoncista cerca de mi en Bucaramanga,ortodoncista-cerca-de-mi-3-68001,ortodoncia,servicio,nucleo,municipio,68001,2026-09-05,ubersuggest,12m,50,2100,20
clinica de ortodoncia en Bucaramanga,clinica-de-ortodoncia-4-68001,ortodoncia,servicio,nucleo,municipio,68001,2026-09-05,ubersuggest,12m,35,2400,24
ortodoncista en Armenia,ortodoncista-0-63001,ortodoncia,servicio,nucleo,municipio,63001,2026-09-05,ubersuggest,12m,55,1200,8
brackets precio en Armenia,brackets-precio-1-63001,ortodoncia,precio,nucleo,municipio,63001,2026-09-05,ubersuggest,12m,48,1500,12
ortodoncia invisible en Armenia,ortodoncia-invisible-2-63001,ortodoncia,servicio,nucleo,municipio,63001,2026-09-05,ubersuggest,12m,41,1800,16
ortodoncista cerca de mi en Armenia,ortodoncista-cerca-de-mi-3-63001,ortodoncia,servicio,nucleo,municipio,63001,2026-09-05,ubersuggest,12m,34,2100,20
clinica de ortodoncia en Armenia,clinica-de-ortodoncia-4-63001,ortodoncia,servicio,nucleo,municipio,63001,2026-09-05,ubersuggest,12m,27,2400,24
ortodoncista en Ibagué,ortodoncista-0-73001,ortodoncia,servicio,nucleo,municipio,73001,2026-09-05,ubersuggest,12m,85,1200,8
brackets precio en Ibagué,brackets-precio-1-73001,ortodoncia,precio,nucleo,municipio,73001,2026-09-05,ubersuggest,12m,72,1500,12
ortodoncia invisible en Ibagué,ortodoncia-invisible-2-73001,ortodoncia,servicio,nucleo,municipio,73001,2026-09-05,ubersuggest,12m,59,1800,16
